,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 1,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Difference between Interactome-Neighborhood Gene List Size for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 1,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2,Neighborhood Gene List Percentage for PathFX Version 2
citalopram,1,106.0,,106,106,106,1,87.0,,87,87,87,1,0.0862068965517241,,0.0862068965517241,0.0862068965517241,0.0862068965517241,1,0.0744680851063829,,0.0744680851063829,0.0744680851063829,0.0744680851063829
clomipramine,1,105.0,,105,105,105,1,87.0,,87,87,87,1,0.0948275862068965,,0.0948275862068965,0.0948275862068965,0.0948275862068965,1,0.0744680851063829,,0.0744680851063829,0.0744680851063829,0.0744680851063829
clopidogrel,2,274.5,235.46655813512032,108,441,549,2,278.0,271.5290039756342,86,470,556,2,0.06632989237865139,0.003727336426197527,0.0636942675159235,0.0689655172413793,0.13265978475730278,2,0.07066564128855846,0.02042229274895784,0.0562248995983935,0.0851063829787234,0.1413312825771169
clozapine,6,384.0,331.90661337189414,47,938,2304,6,510.3333333333333,615.50586241454,40,1704,3062,6,0.13412965744851243,0.0725173446261943,0.0794896957801766,0.265625,0.8047779446910747,6,0.10348247108682045,0.06494419793025988,0.0416197975253093,0.2,0.6208948265209226
cocaine,1,556.0,,556,556,556,1,513.0,,513,513,513,1,0.0764119601328903,,0.0764119601328903,0.0764119601328903,0.0764119601328903,1,0.0672727272727272,,0.0672727272727272,0.0672727272727272,0.0672727272727272
codeine,1,441.0,,441,441,441,1,470.0,,470,470,470,1,0.0636942675159235,,0.0636942675159235,0.0636942675159235,0.0636942675159235,1,0.0562248995983935,,0.0562248995983935,0.0562248995983935,0.0562248995983935
conivaptan,1,576.0,,576,576,576,1,529.0,,529,529,529,1,0.0431893687707641,,0.0431893687707641,0.0431893687707641,0.0431893687707641,1,0.0381818181818181,,0.0381818181818181,0.0381818181818181,0.0381818181818181
cyclobenzaprine,1,994.0,,994,994,994,1,1732.0,,1732,1732,1732,1,0.0245338567222767,,0.0245338567222767,0.0245338567222767,0.0245338567222767,1,0.0258717660292463,,0.0258717660292463,0.0258717660292463,0.0258717660292463
cysteamine,1,69.0,,69,69,69,1,33.0,,33,33,33,1,0.0675675675675675,,0.0675675675675675,0.0675675675675675,0.0675675675675675,1,0.0833333333333333,,0.0833333333333333,0.0833333333333333,0.0833333333333333
daclizumab,1,459.0,,459,459,459,1,488.0,,488,488,488,1,0.0254777070063694,,0.0254777070063694,0.0254777070063694,0.0254777070063694,1,0.0200803212851405,,0.0200803212851405,0.0200803212851405,0.0200803212851405
dalteparin,1,71.0,,71,71,71,1,34.0,,34,34,34,1,0.0405405405405405,,0.0405405405405405,0.0405405405405405,0.0405405405405405,1,0.0555555555555555,,0.0555555555555555,0.0555555555555555,0.0555555555555555
danazol,1,994.0,,994,994,994,1,1757.0,,1757,1757,1757,1,0.0245338567222767,,0.0245338567222767,0.0245338567222767,0.0245338567222767,1,0.0118110236220472,,0.0118110236220472,0.0118110236220472,0.0118110236220472
dasatinib,2,152.5,115.25840533340725,71,234,305,2,193.0,173.9482681718907,70,316,386,2,0.07651044607566346,0.001996348902277102,0.075098814229249,0.0779220779220779,0.15302089215132691,2,0.08074866310160425,0.014369014804860346,0.0705882352941176,0.0909090909090909,0.1614973262032085
desipramine,1,951.0,,951,951,951,1,1711.0,,1711,1711,1711,1,0.0667320902845927,,0.0667320902845927,0.0667320902845927,0.0667320902845927,1,0.0376827896512935,,0.0376827896512935,0.0376827896512935,0.0376827896512935
desmopressin,1,320.0,,320,320,320,1,85.0,,85,85,85,1,0.044776119402985,,0.044776119402985,0.044776119402985,0.044776119402985,1,0.0760869565217391,,0.0760869565217391,0.0760869565217391,0.0760869565217391
dexamethasone,3,655.3333333333334,276.543546902352,433,965,1966,3,901.3333333333334,711.3939368123216,460,1722,2704,3,0.06338364711863403,0.015079596450610105,0.0529931305201177,0.0806794055201698,0.1901509413559021,3,0.05290345826158363,0.02247105434969183,0.0314960629921259,0.0763052208835341,0.1587103747847509
dextroamphetamine,1,978.0,,978,978,978,1,1750.0,,1750,1750,1750,1,0.0402355250245338,,0.0402355250245338,0.0402355250245338,0.0402355250245338,1,0.0157480314960629,,0.0157480314960629,0.0157480314960629,0.0157480314960629
dextromethorphan,2,273.5,235.46655813512032,107,440,547,2,278.0,271.5290039756342,86,470,556,2,0.071701808331503,0.008321796257100653,0.0658174097664543,0.0775862068965517,0.143403616663006,2,0.07066564128855846,0.02042229274895784,0.0562248995983935,0.0851063829787234,0.1413312825771169
diflunisal,2,597.0,561.4427842621187,200,994,1194,2,981.0,1108.7434329005066,197,1765,1962,2,0.03379802883960725,0.013101517852487535,0.0245338567222767,0.0430622009569378,0.0675960576792145,2,0.01360604178209065,0.008901704661613984,0.0073115860517435,0.0199004975124378,0.0272120835641813
dihydroergotamine,1,973.0,,973,973,973,1,1733.0,,1733,1733,1733,1,0.0451422963689892,,0.0451422963689892,0.0451422963689892,0.0451422963689892,1,0.0253093363329583,,0.0253093363329583,0.0253093363329583,0.0253093363329583
diphenhydramine,2,529.5,608.8189386016174,99,960,1059,2,901.0,1162.4835482706842,79,1723,1802,2,0.10222581300125205,0.06268630469403598,0.0578999018645731,0.146551724137931,0.2044516260025041,2,0.0952540506904722,0.09096280661699002,0.030933633295838,0.1595744680851064,0.1905081013809444
diphenoxylate,1,579.0,,579,579,579,1,530.0,,530,530,530,1,0.0382059800664451,,0.0382059800664451,0.0382059800664451,0.0382059800664451,1,0.0363636363636363,,0.0363636363636363,0.0363636363636363,0.0363636363636363
disopyramide,1,954.0,,954,954,954,1,1723.0,,1723,1723,1723,1,0.0637880274779195,,0.0637880274779195,0.0637880274779195,0.0637880274779195,1,0.030933633295838,,0.030933633295838,0.030933633295838,0.030933633295838
donepezil,1,106.0,,106,106,106,1,86.0,,86,86,86,1,0.0862068965517241,,0.0862068965517241,0.0862068965517241,0.0862068965517241,1,0.0851063829787234,,0.0851063829787234,0.0851063829787234,0.0851063829787234
doxepin,1,427.0,,427,427,427,1,465.0,,465,465,465,1,0.0934182590233545,,0.0934182590233545,0.0934182590233545,0.0934182590233545,1,0.0662650602409638,,0.0662650602409638,0.0662650602409638,0.0662650602409638
doxylamine,1,108.0,,108,108,108,1,88.0,,88,88,88,1,0.0689655172413793,,0.0689655172413793,0.0689655172413793,0.0689655172413793,1,0.0638297872340425,,0.0638297872340425,0.0638297872340425,0.0638297872340425
dronabinol,1,31.0,,31,31,31,1,40.0,,40,40,40,1,0.1142857142857142,,0.1142857142857142,0.1142857142857142,0.1142857142857142,1,0.0909090909090909,,0.0909090909090909,0.0909090909090909,0.0909090909090909
droxidopa,1,259.0,,259,259,259,1,275.0,,275,275,275,1,0.0649819494584837,,0.0649819494584837,0.0649819494584837,0.0649819494584837,1,0.0384615384615384,,0.0384615384615384,0.0384615384615384,0.0384615384615384
eculizumab,2,509.5,98.2878425849301,440,579,1019,2,508.5,41.71930009000631,479,538,1017,2,0.0520116949164497,0.01952422917913214,0.0382059800664451,0.0658174097664543,0.1040233898328994,2,0.0299853961299744,0.01155018524654474,0.0218181818181818,0.038152610441767,0.0599707922599488
eletriptan,1,962.0,,962,962,962,1,1721.0,,1721,1721,1721,1,0.0559371933267909,,0.0559371933267909,0.0559371933267909,0.0559371933267909,1,0.0320584926884139,,0.0320584926884139,0.0320584926884139,0.0320584926884139
enoxaparin,2,181.5,154.8563850798539,72,291,363,2,132.0,137.17871555019022,35,229,264,2,0.01692648279678995,0.01428432663775055,0.0068259385665529,0.027027027027027,0.0338529655935799,2,0.01821789321789315,0.013519718399309877,0.0086580086580086,0.0277777777777777,0.0364357864357863
epinephrine,3,613.6666666666666,326.1231873592145,314,961,1841,3,781.0,852.5966220904232,85,1732,2343,3,0.059801926403896095,0.002884009991320012,0.056918547595682,0.0626865671641791,0.1794057792116883,3,0.048531695395783,0.02546300343293029,0.0258717660292463,0.0760869565217391,0.145595086187349
epoprostenol,1,576.0,,576,576,576,1,526.0,,526,526,526,1,0.0431893687707641,,0.0431893687707641,0.0431893687707641,0.0431893687707641,1,0.0436363636363636,,0.0436363636363636,0.0436363636363636,0.0436363636363636
eptifibatide,2,159.5,126.572113832392,70,249,319,2,185.5,214.2533546995239,34,337,371,2,0.034932165366947904,0.027042434319494105,0.0158102766798418,0.054054054054054,0.06986433073389581,2,0.0321895424836601,0.033044532584861494,0.0088235294117647,0.0555555555555555,0.0643790849673202
erlotinib,1,236.0,,236,236,236,1,325.0,,325,325,325,1,0.067193675889328,,0.067193675889328,0.067193675889328,0.067193675889328,1,0.0441176470588235,,0.0441176470588235,0.0441176470588235,0.0441176470588235
escitalopram,2,526.0,660.4377336282354,59,993,1052,2,887.0,1192.1820330805192,44,1730,1774,2,0.0518201054955839,0.037200738564938746,0.0255152109911678,0.078125,0.1036402109911678,2,0.07349831271091109,0.06576331683746209,0.0269966254218222,0.12,0.14699662542182218
estradiol,2,626.5,504.16713498600836,270,983,1253,2,969.0,1070.559666716433,212,1726,1938,2,0.056913523597718396,0.030525474358229138,0.0353287536800785,0.0784982935153583,0.11382704719543679,2,0.05574871322902815,0.037480009706005415,0.0292463442069741,0.0822510822510822,0.1114974264580563
febuxostat,2,264.0,16.97056274847714,252,276,528,2,312.0,38.18376618407357,285,339,624,2,0.0037813387366047004,0.0002421564011426534,0.003610108303249,0.0039525691699604,0.007562677473209401,2,0.0032188399835457997,0.0003926755058007951,0.0029411764705882,0.0034965034965034,0.0064376799670915995
fenoldopam,1,977.0,,977,977,977,1,1749.0,,1749,1749,1749,1,0.0412168792934249,,0.0412168792934249,0.0412168792934249,0.0412168792934249,1,0.0163104611923509,,0.0163104611923509,0.0163104611923509,0.0163104611923509
fenoprofen,2,632.0,513.3595231414336,269,995,1264,2,1022.0,1049.3464632808366,280,1764,2044,2,0.02621668443968915,0.003767722297660573,0.0235525024533856,0.0288808664259927,0.0524333688793783,2,0.01442651836352615,0.009266638066317853,0.0078740157480314,0.0209790209790209,0.0288530367270523
fentanyl,3,669.3333333333334,284.46851026666087,441,988,2008,3,910.3333333333334,716.5014538249964,468,1737,2731,3,0.0441074099726639,0.017403488055080213,0.0304219823356231,0.0636942675159235,0.1323222299179917,3,0.04231231501319723,0.018626002171133835,0.0230596175478065,0.0602409638554216,0.1269369450395917
filgrastim,1,252.0,,252,252,252,1,339.0,,339,339,339,1,0.0039525691699604,,0.0039525691699604,0.0039525691699604,0.0039525691699604,1,0.0029411764705882,,0.0029411764705882,0.0029411764705882,0.0029411764705882
fluoxetine,2,165.0,154.14927829866735,56,274,330,2,131.0,121.62236636408618,45,217,262,2,0.09492320819112625,0.04253500688878127,0.0648464163822525,0.125,0.1898464163822525,2,0.0803030303030303,0.027855721683106422,0.0606060606060606,0.1,0.1606060606060606
fluphenazine,2,245.0,270.1147904132612,54,436,490,2,256.0,298.3990616607231,45,467,512,2,0.1152799893842887,0.0579403446633086,0.0743099787685774,0.15625,0.2305599787685774,2,0.08112449799196786,0.026693990936359654,0.0622489959839357,0.1,0.16224899598393572
fluvoxamine,1,58.0,,58,58,58,1,46.0,,46,46,46,1,0.09375,,0.09375,0.09375,0.09375,1,0.08,,0.08,0.08,0.08
frovatriptan,1,990.0,,990,990,990,1,1749.0,,1749,1749,1749,1,0.028459273797841,,0.028459273797841,0.028459273797841,0.028459273797841,1,0.0163104611923509,,0.0163104611923509,0.0163104611923509,0.0163104611923509
gabapentin,4,573.75,304.1034637531554,282,992,2295,4,744.0,684.2937965523288,224,1751,2976,4,0.040954083176984374,0.014756604319813649,0.0264965652600588,0.0615711252653927,0.1638163327079375,4,0.03401728398408027,0.01614472542129157,0.015185601799775,0.0542168674698795,0.13606913593632108
glycine,2,428.0,207.88939366884497,281,575,856,2,376.5,217.08178182427008,223,530,753,2,0.0429030648690939,0.0027540868247772224,0.0409556313993174,0.0448504983388704,0.0858061297381878,2,0.035497835497835445,0.001224427326729934,0.0346320346320346,0.0363636363636363,0.07099567099567089
goserelin,3,632.0,336.41194984720744,324,991,1896,3,792.0,862.2592417596926,86,1753,2376,3,0.0317324871182349,0.0038241969963493374,0.0274779195289499,0.0348837209302325,0.0951974613547047,3,0.0343048324493035,0.02719582415934549,0.0140607424071991,0.0652173913043478,0.1029144973479105
haloperidol,2,240.5,270.82189719444773,49,432,481,2,252.0,301.22748878546923,39,465,504,2,0.1585887738853503,0.10717790881241163,0.0828025477707006,0.234375,0.3171775477707006,2,0.1431325301204819,0.10870701840891989,0.0662650602409638,0.22,0.2862650602409638
heparin,3,458.0,492.0040650238573,72,1012,1374,3,658.6666666666666,927.4838722766739,31,1724,1976,3,0.014711804919697901,0.010797535962979384,0.0068694798822374,0.027027027027027,0.0441354147590937,3,0.07085004525949402,0.05927636364147265,0.03037120359955,0.1388888888888889,0.21255013577848209
histrelin,1,998.0,,998,998,998,1,1761.0,,1761,1761,1761,1,0.0206084396467124,,0.0206084396467124,0.0206084396467124,0.0206084396467124,1,0.0095613048368953,,0.0095613048368953,0.0095613048368953,0.0095613048368953
hydrocodone,1,441.0,,441,441,441,1,470.0,,470,470,470,1,0.0636942675159235,,0.0636942675159235,0.0636942675159235,0.0636942675159235,1,0.0562248995983935,,0.0562248995983935,0.0562248995983935,0.0562248995983935
hyoscyamine,1,103.0,,103,103,103,1,82.0,,82,82,82,1,0.1120689655172413,,0.1120689655172413,0.1120689655172413,0.1120689655172413,1,0.1276595744680851,,0.1276595744680851,0.1276595744680851,0.1276595744680851
ibuprofen,1,105.0,,105,105,105,1,87.0,,87,87,87,1,0.0948275862068965,,0.0948275862068965,0.0948275862068965,0.0948275862068965,1,0.0744680851063829,,0.0744680851063829,0.0744680851063829,0.0744680851063829
icodextrin,1,276.0,,276,276,276,1,285.0,,285,285,285,1,0.003610108303249,,0.003610108303249,0.003610108303249,0.003610108303249,1,0.0034965034965034,,0.0034965034965034,0.0034965034965034,0.0034965034965034
iloperidone,3,170.33333333333334,226.8090239239465,30,432,511,3,182.66666666666666,246.25258035873114,38,467,548,3,0.1533448968759478,0.07632854516476803,0.0828025477707006,0.234375,0.4600346906278434,3,0.11287087744919067,0.04387752212050847,0.0622489959839357,0.14,0.338612632347572
imatinib,1,237.0,,237,237,237,1,327.0,,327,327,327,1,0.0632411067193675,,0.0632411067193675,0.0632411067193675,0.0632411067193675,1,0.038235294117647,,0.038235294117647,0.038235294117647,0.038235294117647
imipramine,2,484.0,643.4671708797582,29,939,968,2,869.0,1175.211470332042,38,1700,1738,2,0.12496845646992845,0.06570452468392597,0.0785083415112855,0.1714285714285714,0.2499369129398569,2,0.0901165763370487,0.06540321950948282,0.0438695163104611,0.1363636363636363,0.1802331526740974
irbesartan,1,991.0,,991,991,991,1,1743.0,,1743,1743,1743,1,0.0274779195289499,,0.0274779195289499,0.0274779195289499,0.0274779195289499,1,0.0196850393700787,,0.0196850393700787,0.0196850393700787,0.0196850393700787
ketoprofen,3,597.0,353.52086218496356,260,965,1791,3,845.0,781.6079579942875,275,1736,2535,3,0.05805521204239317,0.004453723280801645,0.0529931305201177,0.0613718411552346,0.1741656361271795,3,0.036452104326120005,0.011952699929833057,0.0236220472440944,0.0472727272727272,0.10935631297836002
leuprolide,1,998.0,,998,998,998,1,1760.0,,1760,1760,1760,1,0.0206084396467124,,0.0206084396467124,0.0206084396467124,0.0206084396467124,1,0.0101237345331833,,0.0101237345331833,0.0101237345331833,0.0101237345331833
levodopa,3,561.6666666666666,373.42915436978586,265,981,1685,3,823.3333333333334,791.9635934393281,273,1731,2470,3,0.04951777129127827,0.016236960062829393,0.0372914622178606,0.0679405520169851,0.1485533138738348,3,0.04538192309750983,0.01891152077298999,0.0264341957255343,0.0642570281124498,0.1361457692925295
lidocaine,1,98.0,,98,98,98,1,86.0,,86,86,86,1,0.1551724137931034,,0.1551724137931034,0.1551724137931034,0.1551724137931034,1,0.0851063829787234,,0.0851063829787234,0.0851063829787234,0.0851063829787234
liraglutide,1,329.0,,329,329,329,1,88.0,,88,88,88,1,0.017910447761194,,0.017910447761194,0.017910447761194,0.017910447761194,1,0.0434782608695652,,0.0434782608695652,0.0434782608695652,0.0434782608695652
losartan,1,968.0,,968,968,968,1,1742.0,,1742,1742,1742,1,0.0500490677134445,,0.0500490677134445,0.0500490677134445,0.0500490677134445,1,0.0202474690663667,,0.0202474690663667,0.0202474690663667,0.0202474690663667
loxapine,3,262.6666666666667,194.44879360215464,48,427,788,3,197.66666666666666,234.19294040028905,42,467,593,3,0.1363633002714664,0.0993853275682772,0.0656716417910447,0.25,0.4090899008143992,3,0.10306850590768869,0.05082825712065149,0.0622489959839357,0.16,0.3092055177230661
lurasidone,2,699.5,376.8879143724298,433,966,1399,2,1096.5,888.8332239514903,468,1725,2193,2,0.0663455908856982,0.020271075056611687,0.0520117762512266,0.0806794055201698,0.1326911817713964,2,0.0450248688793418,0.02151880788152917,0.029808773903262,0.0602409638554216,0.0900497377586836
maprotiline,1,955.0,,955,955,955,1,1716.0,,1716,1716,1716,1,0.0628066732090284,,0.0628066732090284,0.0628066732090284,0.0628066732090284,1,0.0348706411698537,,0.0348706411698537,0.0348706411698537,0.0348706411698537
maraviroc,2,716.5,388.2016228714146,442,991,1433,2,1110.5,904.3895731375943,471,1750,2221,2,0.0445245223971713,0.024107536968626803,0.0274779195289499,0.0615711252653927,0.0890490447943426,2,0.034982449482971203,0.02720157478143872,0.0157480314960629,0.0542168674698795,0.06996489896594241
